IES;codigo;academia;investigacion;infraestructura;organizacion;eficiencia_academica;oferta;mantenimiento;CA08;CA05;CA03;CA01;CA02;CA07;CA09;CA10;region
UNIVERSIDAD DE ESPECIALIDADES TURISTICAS;1053;0,1404;0,019;0,1216;0,059;0,054;Pregrado & Posgrado;Privada;NO;NO;SI;NO;NO;NO;NO;SI;Sierra
UNIVERSIDAD TECNICA DE BABAHOYO;1013;0,1592;0;0,1264;0,045;0,055;Pregrado & Posgrado;Publica;SI;SI;SI;SI;NO;SI;SI;SI;Costa
UNIVERSIDAD DE LAS AMERICAS;1040;0,094;0,0132;0,1436;0,066;0,066;Pregrado & Posgrado;Privada;SI;SI;SI;SI;SI;SI;SI;SI;Sierra
UNIVERSIDAD LAICA VICENTE ROCAFUERTE DE GUAYAQUIL;1030;0,164;0,002;0,1264;0,042;0,026;Pregrado & Posgrado;Cofinanciada;SI;SI;SI;SI;SI;SI;SI;NO;Costa
UNIVERSIDAD AGRARIA DEL ECUADOR;1018;0,15;0;0,0832;0,052;0,05;Pregrado & Posgrado;Publica;SI;SI;SI;SI;NO;SI;NO;SI;Costa
UNIVERSIDAD TECNICA LUIS VARGAS TORRES DE ESMERALDAS;1012;0,1512;0,001;0,0828;0,03;0,051;Pregrado & Posgrado;Publica;SI;SI;SI;SI;NO;SI;SI;SI;Costa
UNIVERSIDAD ESTATAL DEL SUR DE MANABI;1025;0,098;0,0002;0,0942;0,057;0,046;Pregrado & Posgrado;Publica;SI;SI;SI;SI;NO;SI;SI;SI;Costa
UNIVERSIDAD LAICA ELOY ALFARO DE MANABI;1016;0,108;0;0,0954;0,046;0,043;Pregrado & Posgrado;Publica;SI;SI;SI;SI;SI;SI;SI;SI;Costa
UNIVERSIDAD TECNICA DE MACHALA;1011;0,126;0,0218;0,0672;0,02;0,036;Pregrado & Posgrado;Publica;SI;SI;SI;SI;SI;SI;SI;SI;Costa
UNIVERSIDAD DE GUAYAQUIL;1006;0,1056;0,0162;0,0842;0,018;0,014;Pregrado & Posgrado;Publica;SI;SI;SI;SI;SI;SI;SI;SI;Costa
UNIVERSIDAD POLITECNICA ESTATAL DEL CARCHI;1074;0,191;0,022;0,132;0,178;0,07;Pregrado;Publica;SI;SI;SI;NO;NO;SI;SI;SI;Sierra
UNIVERSIDAD ESTATAL AMAZONICA;1058;0,225;0,053;0,119;0,096;0,084;Pregrado;Publica;SI;NO;NO;NO;NO;SI;NO;SI;Amazonia
UNIVERSIDAD DE LOS HEMISFERIOS;1070;0,237;0,004;0,102;0,152;0,073;Pregrado;Privada;NO;SI;SI;SI;SI;NO;NO;NO;Sierra
UNIVERSIDAD IBEROAMERICANA DEL ECUADOR;1073;0,178;0,023;0,108;0,104;0,071;Pregrado;Privada;NO;NO;SI;NO;SI;NO;SI;NO;Sierra
UNIVERSIDAD TECNICA DE MANABI;1009;0,135;0;0,094;0,118;0,086;Pregrado;Publica;SI;SI;SI;SI;NO;SI;SI;NO;Costa
UNIVERSIDAD PARTICULAR SAN GREGORIO DE PORTOVIEJO;1060;0,112;0,011;0,108;0,166;0,029;Pregrado;Privada;NO;SI;SI;SI;SI;SI;SI;SI;Costa
UNIVERSIDAD TECNOLOGICA ECOTEC;1077;0,118;0,017;0,087;0,114;0,065;Pregrado;Privada;NO;SI;SI;NO;NO;NO;NO;NO;Costa
UNIVERSIDAD ESTATAL PENINSULA DE SANTA ELENA;1023;0,154;0;0,081;0,117;0,03;Pregrado;Publica;SI;SI;SI;SI;SI;SI;SI;SI;Costa
UNIVERSIDAD DE OTAVALO;1059;0,114;0;0,084;0,069;0,07;Pregrado;Privada;NO;SI;SI;NO;SI;NO;NO;SI;Sierra
UNIVERSIDAD CATOLICA DE CUENCA;1029;0,116;0;0,082;0,116;0,015;Pregrado;Cofinanciada;SI;SI;SI;SI;SI;SI;SI;SI;Sierra
FACULTAD LATINOAMERICANA DE CIENCIAS SOCIALES;1026;0,326;0,119;0,149;0,114;0,1;Posgrado;Publica;NO;SI;SI;SI;SI;SI;SI;SI;Sierra
UNIVERSIDAD ANDINA SIMON BOLIVAR;1022;0,229;0,154;0,135;0,063;0,065;Posgrado;Publica;SI;SI;SI;SI;SI;NO;SI;SI;Sierra
INSTITUTO DE ALTOS ESTUDIOS NACIONALES;1057;0,211;0,016;0,106;0,081;0,042;Posgrado;Publica;NO;NO;SI;NO;NO;NO;NO;NO;Sierra
